CoordinatedSampleNumber	Site	State	Disturbed_Remnant	Known_History_Of_Tilling_Or_Construction	Avg_latitude	Avg_longitude	PRISM_annualMinTemp_Deg_C	PRISM_annualMeanTemp_Deg_C	PRISM_annualMaxTemp_Deg_C	PRISM_annualPrecip_inCM	Calc_EstimatedRatio_PrecipToET	Calc_EstimatedAnnual_ET_inCM	NOAA_meanAnnualTemp_degC	NOAA_AnnualPrecip_mm	NOAA_GrowingSeasonAprOct_Precip_mm	NOAA_Annual_ETo_mm	NOAA_GrowingSeasonAprOct_ETo_mm	CropCoeff_forNOAA_ETo	NOAA_Annual_PET_mm	NOAA_GrowingSeasonAprOct_PET_mm	NOAA_aridityIndex_P.PET	NOAA_GrowingSeasonAprOct_aridityIndex_P.PET	perc_OM	Bray1P_ppm	Bray2P_ppm	K_ppm	Mg_ppm	Ca_ppm	soil_pH	buffer_pH	CEC_meqPer100g	perc_K_sat	perc_Mg_sat	perc_Ca_sat	perc_H_sat	nitrate_ppm	ammonium_ppm	bicarbP_ppm	orgC_perc	Ntotal_perc	C_N
30	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
31	Klemme	OK	Remnant	NA	35.41975329	-99.05505886	8.890000343	15.53999996	22.18000031	77.65900269	0.815979007	63.36811592	16.01567797	659.52	497.52	2084.627	1618.04	0.85	1771.93295	1375.334	0.3722037	0.361744856	2.8	8	52	148	440	4300	7.7	NA	25	1.5	14.4	84.2	NA	NA	NA	3	2.931	0.185	15.8
32	Hays	KS	Remnant	NA	38.85682283	-99.38082858	4.71999979	12.10000038	19.47999954	60.06599731	0.859491933	51.62624013	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	5.1	3	9	248	100	8300	7.7	NA	43	1.5	1.9	96.6	NA	NA	NA	4	5.999	0.305	19.7
33	Hays	KS	Remnant	NA	38.85682283	-99.38082858	4.71999979	12.10000038	19.47999954	60.06599731	0.859491933	51.62624013	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	5.1	3	9	248	100	8300	7.7	NA	43	1.5	1.9	96.6	NA	NA	NA	4	5.999	0.305	19.7
34	Hays	KS	Remnant	NA	38.85682283	-99.38082858	4.71999979	12.10000038	19.47999954	60.06599731	0.859491933	51.62624013	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	5.1	3	9	248	100	8300	7.7	NA	43	1.5	1.9	96.6	NA	NA	NA	4	5.999	0.305	19.7
35	Hays	KS	Remnant	NA	38.85682283	-99.38082858	4.71999979	12.10000038	19.47999954	60.06599731	0.859491933	51.62624013	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	5.1	3	9	248	100	8300	7.7	NA	43	1.5	1.9	96.6	NA	NA	NA	4	5.999	0.305	19.7
36	Hays	KS	Remnant	NA	38.85682283	-99.38082858	4.71999979	12.10000038	19.47999954	60.06599731	0.859491933	51.62624013	12.59019472	508.42	411.14	1819.477	1428.016	0.85	1546.55545	1213.8136	0.328743467	0.338717576	5.1	3	9	248	100	8300	7.7	NA	43	1.5	1.9	96.6	NA	NA	NA	4	5.999	0.305	19.7
37	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
38	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
39	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
40	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
41	Rockefeller	KS	Remnant	NA	39.045255	-95.20516083	6.829999924	12.67000008	18.51000023	99.06699829	0.682004064	67.56409544	12.7178979	800.56	600.84	1374.955	1067.131	0.85	1168.71175	907.06135	0.684993541	0.662402824	6.5	7	8	141	425	2150	6.2	6.7	18.3	2	19.4	58.9	19.7	NA	NA	4	3.704	0.294	12.6
42	Rockefeller	KS	Remnant	NA	39.045255	-95.20516083	6.829999924	12.67000008	18.51000023	99.06699829	0.682004064	67.56409544	12.7178979	800.56	600.84	1374.955	1067.131	0.85	1168.71175	907.06135	0.684993541	0.662402824	6.5	7	8	141	425	2150	6.2	6.7	18.3	2	19.4	58.9	19.7	NA	NA	4	3.704	0.294	12.6
43	Rockefeller	KS	Remnant	NA	39.045255	-95.20516083	6.829999924	12.67000008	18.51000023	99.06699829	0.682004064	67.56409544	12.7178979	800.56	600.84	1374.955	1067.131	0.85	1168.71175	907.06135	0.684993541	0.662402824	6.5	7	8	141	425	2150	6.2	6.7	18.3	2	19.4	58.9	19.7	NA	NA	4	3.704	0.294	12.6
44	Welda	KS	Remnant	NA	38.18098717	-95.26524683	7.090000153	13.14000034	19.19000053	104.0849976	0.673264088	70.07669092	14.01192752	932.6	681.5	1433.481	1097.535	0.85	1218.45885	932.90475	0.765393103	0.730514021	7.5	1	2	76	250	2400	6.1	6.7	17.9	1.1	11.7	67.1	20.1	NA	NA	2	4.148	0.309	13.4
45	Welda	KS	Remnant	NA	38.18098717	-95.26524683	7.090000153	13.14000034	19.19000053	104.0849976	0.673264088	70.07669092	14.01192752	932.6	681.5	1433.481	1097.535	0.85	1218.45885	932.90475	0.765393103	0.730514021	7.5	1	2	76	250	2400	6.1	6.7	17.9	1.1	11.7	67.1	20.1	NA	NA	2	4.148	0.309	13.4
46	Rockefeller	KS	Remnant	NA	39.045255	-95.20516083	6.829999924	12.67000008	18.51000023	99.06699829	0.682004064	67.56409544	12.7178979	800.56	600.84	1374.955	1067.131	0.85	1168.71175	907.06135	0.684993541	0.662402824	6.5	7	8	141	425	2150	6.2	6.7	18.3	2	19.4	58.9	19.7	NA	NA	4	3.704	0.294	12.6
47	Welda	KS	Remnant	NA	38.18098717	-95.26524683	7.090000153	13.14000034	19.19000053	104.0849976	0.673264088	70.07669092	14.01192752	932.6	681.5	1433.481	1097.535	0.85	1218.45885	932.90475	0.765393103	0.730514021	7.5	1	2	76	250	2400	6.1	6.7	17.9	1.1	11.7	67.1	20.1	NA	NA	2	4.148	0.309	13.4
48	Weston	IL	Remnant	NA	40.746575	-88.614962	4.769999981	10.48999977	16.20999908	91.33800049	0.67708146	61.84326674	10.97626956	978.62	719.6	1099.076	894.6249	0.85	934.2146	760.431165	1.047532334	0.946305245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	Weston	IL	Remnant	NA	40.746575	-88.614962	4.769999981	10.48999977	16.20999908	91.33800049	0.67708146	61.84326674	10.97626956	978.62	719.6	1099.076	894.6249	0.85	934.2146	760.431165	1.047532334	0.946305245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	Sunbury	IL	Remnant	NA	41.084919	-88.604523	4.590000153	10.21000004	15.82999992	93.75300293	0.658588807	61.74467834	10.97626956	978.62	719.6	1099.076	894.6249	0.85	934.2146	760.431165	1.047532334	0.946305245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	Sunbury	IL	Remnant	NA	41.084919	-88.604523	4.590000153	10.21000004	15.82999992	93.75300293	0.658588807	61.74467834	10.97626956	978.62	719.6	1099.076	894.6249	0.85	934.2146	760.431165	1.047532334	0.946305245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	Goose_Lake	IL	Remnant	NA	41.363385	-88.310368	4.199999809	9.920000076	15.63000011	92.80499878	0.659859506	61.23826064	10.22484206	1012.44	726.04	1046.391	864.5879	0.85	889.43235	734.899715	1.138299051	0.987944321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	Goose_Lake	IL	Remnant	NA	41.363385	-88.310368	4.199999809	9.920000076	15.63000011	92.80499878	0.659859506	61.23826064	10.22484206	1012.44	726.04	1046.391	864.5879	0.85	889.43235	734.899715	1.138299051	0.987944321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
55	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
56	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
57	Konza	KS	Remnant	NA	39.0747675	-96.57481869	5.889999866	12.27999973	18.67000008	87.51300049	0.735991832	64.40885352	12.95873334	775.8	591.34	1382.837	1092.034	0.85	1175.41145	928.2289	0.660024198	0.63706269	8.3	8	9	299	290	2500	6.3	6.7	19.3	4	12.5	64.8	18.7	NA	NA	5	5.052	0.402	12.6
58	Welda	KS	Remnant	NA	38.18098717	-95.26524683	7.090000153	13.14000034	19.19000053	104.0849976	0.673264088	70.07669092	14.01192752	932.6	681.5	1433.481	1097.535	0.85	1218.45885	932.90475	0.765393103	0.730514021	7.5	1	2	76	250	2400	6.1	6.7	17.9	1.1	11.7	67.1	20.1	NA	NA	2	4.148	0.309	13.4
59	Big_Osage	MO	Remnant	NA	37.74267725	-94.330491	7.320000172	13.38000011	19.44000053	115.8130005	0.631110562	73.09080784	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	4.4	1	2	28	120	800	5.7	6.8	7.5	1	13.4	53.5	32.1	NA	NA	2	2.539	0.2	12.7
60	Big_Osage	MO	Remnant	NA	37.74267725	-94.330491	7.320000172	13.38000011	19.44000053	115.8130005	0.631110562	73.09080784	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	4.4	1	2	28	120	800	5.7	6.8	7.5	1	13.4	53.5	32.1	NA	NA	2	2.539	0.2	12.7
61	Little_Osage	MO	Remnant	NA	37.76951325	-94.34219075	7.329999924	13.39000034	19.44000053	116.1930054	0.62969882	73.1665984	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	4.4	1	2	28	120	800	5.7	6.8	7.5	1	13.4	53.5	32.1	NA	NA	2	2.539	0.2	12.7
62	Little_Osage	MO	Remnant	NA	37.76951325	-94.34219075	7.329999924	13.39000034	19.44000053	116.1930054	0.62969882	73.1665984	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	4.4	1	2	28	120	800	5.7	6.8	7.5	1	13.4	53.5	32.1	NA	NA	2	2.539	0.2	12.7
63	WahKonTah	MO	Remnant	NA	37.918058	-94.0065035	7.150000095	13.27999973	19.40999985	117.526001	0.624602897	73.40708071	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	5.4	6	8	78	220	1250	5.9	6.8	10.7	1.9	17.2	58.5	22.5	NA	NA	4	3.228	0.261	12.4
64	WahKonTah	MO	Remnant	NA	37.918058	-94.0065035	7.150000095	13.27999973	19.40999985	117.526001	0.624602897	73.40708071	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	5.4	6	8	78	220	1250	5.9	6.8	10.7	1.9	17.2	58.5	22.5	NA	NA	4	3.228	0.261	12.4
65	Taberville	MO	Remnant	NA	38.056607	-93.96640275	6.980000019	13.11999989	19.26000023	112.0939941	0.643203548	72.09925469	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	5.4	6	8	78	220	1250	5.9	6.8	10.7	1.9	17.2	58.5	22.5	NA	NA	4	3.228	0.261	12.4
66	Taberville	MO	Remnant	NA	38.056607	-93.96640275	6.980000019	13.11999989	19.26000023	112.0939941	0.643203548	72.09925469	14.52374052	1125.08	779.52	1429.493	1080.708	0.85	1215.06905	918.6018	0.925939147	0.848594026	5.4	6	8	78	220	1250	5.9	6.8	10.7	1.9	17.2	58.5	22.5	NA	NA	4	3.228	0.261	12.4
67	Morris	MO	Remnant	NA	40.38335914	-92.94081314	4.730000019	10.57999992	16.43000031	101.802002	0.63525693	64.67042721	11.06219535	1124.8	839.26	1154.596	913.1662	0.85	981.4066	776.19127	1.146110083	1.081254109	3.7	2	3	74	220	1300	6.3	6.9	9.7	2	18.9	66.9	12.3	NA	NA	2	1.994	0.162	12.3
68	Morris	MO	Remnant	NA	40.38335914	-92.94081314	4.730000019	10.57999992	16.43000031	101.802002	0.63525693	64.67042721	11.06219535	1124.8	839.26	1154.596	913.1662	0.85	981.4066	776.19127	1.146110083	1.081254109	3.7	2	3	74	220	1300	6.3	6.9	9.7	2	18.9	66.9	12.3	NA	NA	2	1.994	0.162	12.3
69	IL_Rte54	IL	Disturbed	Y	40.39647167	-88.4588195	4.900000095	10.60000038	16.29000092	97.0960022	0.65251721	63.35681246	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.3	16	19	223	440	1800	6.1	6.7	16.8	3.4	21.8	53.4	21.4	NA	NA	9	8.531	0.422	20.2
70	IL_Rte54	IL	Disturbed	Y	40.39647167	-88.4588195	4.900000095	10.60000038	16.29000092	97.0960022	0.65251721	63.35681246	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.3	16	19	223	440	1800	6.1	6.7	16.8	3.4	21.8	53.4	21.4	NA	NA	9	8.531	0.422	20.2
71	IL_Rte54	IL	Disturbed	Y	40.39647167	-88.4588195	4.900000095	10.60000038	16.29000092	97.0960022	0.65251721	63.35681246	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.3	16	19	223	440	1800	6.1	6.7	16.8	3.4	21.8	53.4	21.4	NA	NA	9	8.531	0.422	20.2
72	Paxton_East	IL	Disturbed	Y	40.4619665	-88.05861467	4.800000191	10.47999954	16.14999962	96.87299805	0.6508272	63.04758212	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.2	8	25	230	440	3100	7.3	NA	19.8	3	18.6	78.5	NA	NA	NA	6	NA	NA	NA
73	Paxton_East	IL	Disturbed	Y	40.4619665	-88.05861467	4.800000191	10.47999954	16.14999962	96.87299805	0.6508272	63.04758212	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.2	8	25	230	440	3100	7.3	NA	19.8	3	18.6	78.5	NA	NA	NA	6	NA	NA	NA
74	Paxton_East	IL	Disturbed	Y	40.4619665	-88.05861467	4.800000191	10.47999954	16.14999962	96.87299805	0.6508272	63.04758212	11.94948679	1009.18	726.76	1161.503	952.0282	0.85	987.27755	809.22397	1.022184694	0.898094998	7.2	8	25	230	440	3100	7.3	NA	19.8	3	18.6	78.5	NA	NA	NA	6	NA	NA	NA
